Index,pH,Iron,Nitrate,Chloride,Lead,Zinc,Color,Turbidity,Fluoride,Copper,Odor,Sulfate,Conductivity,Chlorine,Manganese,Total Dissolved Solids,Source,Water Temperature,Air Temperature,Month,Day,Time of Day,Target
0,8.332988426998293,8.347252192589195e-05,8.605777156318172,122.79977230019874,3.713298074820817e-52,3.434827042401566,Colorless,0.0226832821778065,0.6072834313436445,0.1445987002849633,1.6262124865389558,87.26653840648443,471.6833570379084,3.708177872825346,2.269945225440768e-15,332.1187885758771,,,43.4933242768805,January,29.0,4.0,0
1,6.917862876550086,8.05382716977708e-05,3.73416663547648,227.02985085219947,7.849261948922226e-94,1.2453170682030728,Faint Yellow,0.0190072772297638,0.6228737941645813,0.4378353051879079,1.6860490063990854,144.01098067567776,432.8449081932317,3.2920377903870244,8.024076196598486e-07,284.6419843000643,Lake,15.348980672563068,71.22058602287332,November,26.0,16.0,0
2,5.443761983640747,0.0201058594424265,3.8169938323969776,230.99562965271656,5.286615717086767e-76,0.5282797139800117,Light Yellow,0.3199556399588432,0.4234234124064506,0.4315876306851801,3.4146191665132912,275.7021071519117,990.2012087403288,3.5602243352706107,0.0700798941320315,570.0540942904149,River,11.643466974491728,44.89132961328952,January,31.0,8.0,0
3,7.955338706630929,0.1439878446598052,8.224943924014617,178.1299396688083,3.997117964499175e-176,4.027879477369673,Near Colorless,0.1663192064811459,0.2084535207555519,0.2394508848990768,,147.1632331216171,237.02846747715324,3.516907189143834,0.0246829477991704,100.04383793121046,Ground,10.092391960443658,60.84323293176082,April,1.0,21.0,0
4,8.09190897993793,0.002167127939846,9.92578827489778,186.54087241146436,4.1710688548325264e-132,3.807511283929922,Light Yellow,0.0048670238431223,0.2229119191674431,0.6165743539708618,0.7953101066236304,175.2751745806402,385.02585538499136,3.1778494671501827,0.0032961392254637,168.07554455188685,Spring,15.24941574449821,69.33667064465493,June,29.0,7.0,0
5,,6.438211097883465e-06,1.7025839256935176,162.8284575054278,6.102202280343881e-23,3.742463675095821,Near Colorless,0.5047906977779616,0.0545624639711748,0.8513263255942858,1.2704828343467716,40.85340276107313,273.3596619199493,3.9578421880500976,0.0002863952457438,365.6390446764278,Stream,13.966842465338791,45.44479785942311,March,18.0,16.0,0
6,8.132455254928647,0.0552622870432861,4.288009511615294,94.99397759038456,2.919908642305305e-52,1.7702205968131384,Light Yellow,0.0217033680170302,1.1118933747084083,0.2471157549523806,0.4264039020133344,,265.5300964871139,1.706754944434285,0.0308376825434642,266.0795652505953,Aquifer,27.92038025104248,68.10449760865492,September,14.0,13.0,0
7,7.258203145845717,6.107129837217062e-09,9.26167580122401,182.2423407530417,4.3998520479124295e-224,0.4164775464847408,Colorless,0.0478031791644083,1.0161962374839366,0.2980934209430296,3.1441986515867457,114.55142662349748,160.06255735415195,2.3250939237169903,6.020679600903066e-16,214.5531038247008,River,15.891904856714174,61.13914033047329,April,11.0,4.0,0
8,8.238148578928804,8.084497092178008e-10,3.1923810329715554,143.2227179876468,1.840020570037853e-57,0.1343705415174413,Near Colorless,0.6626105198893034,0.3169445559224262,0.9731903037066968,,118.54127852431373,201.76955089087863,3.7986761806073126,0.0350866630467113,436.31793717539887,Spring,69.94304792817735,92.42038134613416,January,5.0,14.0,0
9,7.100649703806861,0.0030190376408529,3.6206413788828415,157.04393356736165,6.45972508164356e-148,0.1129940250931222,Colorless,0.0506127846820218,0.842107167903032,0.3916016330218647,2.71337855902198,167.41783709779014,583.2953206253402,2.284970892119192,8.840611736735354e-07,113.90907668190911,River,11.89937574931472,14.010267640973026,April,7.0,12.0,0
